iter	MAE
0	2.501930488
1	2.486040447
2	2.470409744
3	2.457108266
4	2.442611958
5	2.427960742
6	2.414350595
7	2.395139016
8	2.374870242
9	2.352737054
10	2.340726836
11	2.326513118
12	2.312344373
13	2.289642501
14	2.267632405
15	2.256357076
16	2.246320397
17	2.234954581
18	2.214236981
19	2.203072166
20	2.1857966
21	2.160468947
22	2.140659486
23	2.120879066
24	2.101508186
25	2.080945882
26	2.071145963
27	2.062164206
28	2.050098866
29	2.035943817
30	2.027368957
31	2.01030293
32	2.000792374
33	1.986870868
34	1.979003038
35	1.961649728
36	1.950901747
37	1.938389421
38	1.920811027
39	1.905443044
40	1.894091847
41	1.884558696
42	1.867718646
43	1.856652095
44	1.841747597
45	1.823483032
46	1.810259906
47	1.803840995
48	1.790933717
49	1.776627278
50	1.764859338
51	1.758519744
52	1.742741939
53	1.72994575
54	1.718794623
55	1.712802192
56	1.705624607
57	1.697564364
58	1.691808326
59	1.685525462
60	1.674828353
61	1.664368908
62	1.653001061
63	1.648219172
64	1.638005249
65	1.628685724
66	1.617813774
67	1.606230588
68	1.596092439
69	1.587862328
70	1.580816882
71	1.573932304
72	1.566492141
73	1.558352133
74	1.551830571
75	1.545463852
76	1.539388817
77	1.530679682
78	1.522079552
79	1.515034729
80	1.507745722
81	1.500353059
82	1.493711288
83	1.486521634
84	1.480548488
85	1.474890101
86	1.469413296
87	1.463650787
88	1.457998279
89	1.452915688
90	1.446358922
91	1.439475473
92	1.434497288
93	1.428660814
94	1.42273011
95	1.417189762
96	1.411073181
97	1.407632385
98	1.402180734
99	1.39707593
100	1.391480241
101	1.385890747
102	1.380919907
103	1.375974764
104	1.370923192
105	1.366237669
106	1.361312732
107	1.357884811
108	1.353924151
109	1.348492641
110	1.343981053
111	1.338842551
112	1.334181912
113	1.329412322
114	1.324486648
115	1.320144704
116	1.316162166
117	1.311627241
118	1.307570884
119	1.303238195
120	1.298940619
121	1.295237699
122	1.291288518
123	1.287782891
124	1.283802579
125	1.280061256
126	1.276511121
127	1.272992359
128	1.269258384
129	1.265615614
130	1.261610768
131	1.257818302
132	1.254327011
133	1.25119861
134	1.247934568
135	1.244689954
136	1.241220647
137	1.23818232
138	1.235242136
139	1.231977028
140	1.228507745
141	1.225440965
142	1.222510875
143	1.219221429
144	1.215837924
145	1.213025054
146	1.209785662
147	1.206861746
148	1.204162909
149	1.201506199
150	1.198635354
151	1.195618036
152	1.192711733
153	1.190043713
154	1.186708843
155	1.183703717
156	1.181298978
157	1.179007028
158	1.176589672
159	1.174172985
160	1.171573472
161	1.168829699
162	1.166531455
163	1.164224913
164	1.161774167
165	1.159695944
166	1.157468942
167	1.155202774
168	1.153011075
169	1.150937039
170	1.148470324
171	1.146341857
172	1.143815243
173	1.141258957
174	1.139324574
175	1.137346794
176	1.135436704
177	1.133481295
178	1.131713041
179	1.129554274
180	1.127483152
181	1.125684399
182	1.123848416
183	1.121475915
184	1.119704622
185	1.118447578
186	1.116274415
187	1.114416862
188	1.112670728
189	1.110949095
190	1.109659316
191	1.107521317
192	1.106019604
193	1.104346547
194	1.102852239
195	1.10133541
196	1.099613469
197	1.097819647
198	1.095829903
199	1.093973502
200	1.092553083
201	1.090826027
202	1.088860868
203	1.087535078
204	1.086144491
205	1.084641907
206	1.083229896
207	1.08162429
208	1.079919839
209	1.078536286
210	1.077283119
211	1.075933622
212	1.074664746
213	1.073451788
214	1.072182268
215	1.070782633
216	1.069283303
217	1.067864071
218	1.066523034
219	1.064999088
220	1.063908978
221	1.062662481
222	1.061161458
223	1.060119142
224	1.058352012
225	1.057062111
226	1.055938073
227	1.054774152
228	1.053195565
229	1.052030224
230	1.050889662
231	1.049355975
232	1.048101502
233	1.046978542
234	1.045962516
235	1.044876727
236	1.043860985
237	1.042629016
238	1.041767881
239	1.040845657
240	1.039553408
241	1.038291487
242	1.037369077
243	1.036523792
