iter	Passed	Remaining
0	10	22621
1	20	22211
2	26	19262
3	34	18816
4	41	17901
5	48	17624
6	53	16496
7	57	15682
8	64	15395
9	68	14823
10	73	14436
11	79	14225
12	83	13902
13	88	13661
14	94	13620
15	99	13446
16	105	13377
17	110	13273
18	116	13209
19	121	13042
20	126	12914
21	130	12777
22	135	12664
23	139	12520
24	146	12613
25	151	12481
26	156	12433
27	161	12393
28	166	12301
29	170	12199
30	176	12204
31	181	12119
32	186	12071
33	192	12086
34	196	12004
35	200	11923
36	206	11897
37	211	11887
38	215	11811
39	220	11763
40	226	11752
41	231	11716
42	235	11650
43	241	11670
44	245	11610
45	249	11553
46	254	11514
47	260	11509
48	264	11475
49	268	11413
50	274	11426
51	279	11399
52	283	11347
53	290	11407
54	296	11409
55	303	11455
56	309	11468
57	314	11450
58	319	11428
59	324	11433
60	329	11401
61	334	11371
62	339	11354
63	344	11352
64	349	11317
65	354	11309
66	359	11307
67	364	11274
68	371	11321
69	376	11296
70	381	11298
71	387	11288
72	391	11269
73	400	11367
74	405	11349
75	411	11343
76	417	11348
77	422	11349
78	427	11324
79	433	11348
80	438	11328
81	443	11299
82	449	11306
83	453	11275
84	458	11248
85	463	11243
86	467	11215
87	471	11171
88	475	11129
89	481	11128
90	485	11109
91	490	11082
92	494	11059
93	499	11036
94	502	10995
95	506	10958
96	511	10932
97	515	10919
98	520	10904
99	525	10879
100	531	10889
101	535	10870
102	540	10866
103	555	11052
104	560	11025
105	564	10995
106	567	10961
107	571	10926
108	576	10902
109	580	10878
110	584	10845
111	588	10815
112	592	10789
113	596	10770
114	600	10747
115	604	10722
116	609	10701
117	613	10675
118	617	10654
119	621	10629
120	633	10735
121	637	10707
122	641	10690
123	645	10668
124	650	10647
125	654	10631
126	660	10641
127	664	10617
128	669	10597
129	673	10576
130	677	10557
131	681	10535
132	686	10522
133	691	10515
134	695	10493
135	699	10469
136	703	10456
137	708	10436
138	711	10411
139	715	10384
140	720	10383
141	725	10370
142	729	10356
143	734	10339
144	739	10332
145	743	10310
146	746	10288
147	751	10275
148	755	10259
149	759	10238
150	763	10216
151	769	10222
152	773	10205
153	776	10181
154	780	10162
155	785	10157
156	790	10149
157	794	10128
158	798	10109
159	803	10108
160	808	10093
161	812	10078
162	816	10066
163	821	10054
164	825	10040
165	830	10030
166	836	10039
167	840	10022
168	844	10010
169	849	10000
170	853	9985
171	857	9971
172	861	9952
173	866	9944
174	870	9933
175	874	9918
176	883	9955
177	887	9944
178	891	9928
179	896	9917
180	901	9919
181	906	9911
182	911	9901
183	917	9917
184	923	9915
185	927	9906
186	933	9911
187	938	9902
188	942	9893
189	949	9899
190	953	9885
191	957	9870
192	962	9869
193	966	9855
194	970	9841
195	974	9826
196	979	9819
197	984	9813
198	988	9801
199	992	9789
200	997	9779
201	1001	9771
202	1005	9754
203	1010	9749
204	1015	9743
205	1019	9732
206	1024	9721
207	1029	9717
208	1033	9704
209	1037	9691
210	1041	9681
211	1046	9676
212	1050	9663
213	1054	9648
214	1058	9632
215	1062	9621
216	1066	9604
217	1069	9586
218	1073	9572
219	1077	9563
220	1081	9549
221	1085	9536
222	1102	9633
223	1106	9620
224	1110	9610
225	1114	9596
226	1121	9606
